Ion Number	Delta E (keV)	E_res (keV)
567	1310.85	15.45
568	1340.65	9.93
570	1291.46	39.36
571	1330.45	9.81
572	1331.11	9.80
575	1290.14	27.47
576	1330.67	19.95
577	1330.38	9.19
579	1310.45	29.86
580	1311.39	29.23
581	1310.64	19.88
582	1310.41	19.08
584	1330.47	8.31
586	1300.11	39.93
588	1320.59	19.91
589	1330.49	19.93
591	1320.19	9.94
592	1291.16	39.48
593	1300.11	39.35
594	1310.11	29.66
595	1300.06	27.32
596	1320.97	29.84
597	1290.74	49.78
598	1301.07	39.39
600	1310.51	11.64
602	1320.11	19.81
603	1290.62	27.47
604	1310.93	29.63
605	1300.27	29.92
606	1330.38	9.85
607	1310.48	29.84
608	1330.98	19.64
609	1320.30	29.88
610	1300.06	39.52
611	1320.67	9.91
612	1320.60	19.89
613	1310.60	19.67
614	1290.77	39.82
615	1311.50	19.33
616	1320.41	19.34
617	1320.17	19.17
619	1301.61	29.55
620	1291.10	38.84
621	1330.13	9.88
624	1330.20	19.65
625	1300.55	29.99
629	1300.77	19.60
630	1320.93	9.90
631	1300.34	39.86
632	1321.03	9.98
633	1330.32	9.77
635	1320.32	29.89
636	1321.42	19.78
637	1301.13	39.70
639	1321.12	10.23
640	1310.40	19.95
642	1291.05	39.74
643	1330.92	9.88
644	1330.90	9.92
645	1320.12	19.84
646	1291.57	19.34
647	1330.66	9.84
648	1320.72	19.66
649	1320.08	9.04
650	1310.03	29.93
651	1320.16	19.72
653	1311.35	29.53
654	1300.41	29.76
655	1330.27	9.91
656	1330.17	9.98
658	1290.71	39.86
659	1330.80	19.92
660	1310.22	29.84
661	1320.32	18.69
662	1300.36	29.68
665	1310.01	19.70
668	1307.35	9.99
669	1300.44	29.99
671	1310.13	29.69
672	1320.59	19.78
673	1291.39	39.34
675	1290.95	39.76
676	1291.78	29.55
678	1301.24	39.41
679	1300.26	29.61
681	1291.50	49.30
682	1330.89	9.81
683	1300.20	29.95
686	1310.12	19.81
687	1310.43	9.98
689	1290.13	39.66
690	1320.74	29.69
692	1330.01	9.95
694	1310.86	7.59
695	1330.47	10.00
697	1310.64	19.86
698	1340.07	9.70
699	1310.06	9.97
701	1330.94	8.74
702	1320.36	19.72
704	1311.53	19.87
705	1321.03	19.82
706	1320.97	19.57
709	1340.60	9.92
710	1331.11	19.77
711	1310.16	29.76
712	1320.92	19.94
713	1320.02	19.87
715	1300.94	39.98
716	1310.17	19.91
718	1320.25	29.97
721	1300.07	39.85
722	1300.09	29.97
723	1310.14	9.84
724	1310.01	19.72
725	1330.30	9.71
726	1310.04	9.90
